Project	Event line	Tool	Purpose	Observed access request
Seinn	35	Read	File content read	<installed-kerd-0.107.0>/skills/switch/references/in-out.md offset=1; limit=unspecified
Seinn	48	Bash	Show branch, working tree, remotes and recent history	git branch --show-current && echo "--- status" && git status --short --branch && echo "--- staged" && git diff --cached --name-only && echo "--- remotes" && git remote -v && echo "--- upstream" && git rev-parse --abbrev-ref --symbolic-full-name @{u} 2>&1 && echo "--- stash" && git stash list && echo "--- log" && git log --oneline -8 && echo "--- worktrees" && git worktree list
Seinn	52	Bash	List project root, work records and memory files	ls -la && echo "--- docs" && ls docs && echo "--- docs/work" && ls -la docs/work && echo "--- .remember" && ls -la .remember 2>/dev/null; echo "--- kerd/conductor state"; ls -la .kerd .conductor docs/conductor 2>/dev/null; find . -maxdepth 3 \( -name 'CONTEXT.md' -o -name 'TODO.md' -o -name 'CLAUDE.md' -o -name 'AGENTS.md' -o -name 'HANDOFF*.md' -o -name 'Status.md' \) -not -path './node_modules/*' 2>/dev/null
Seinn	60	Bash	Map headings in the large context record	grep -n '^#' CONTEXT.md | head -150; echo "--- total heading count"; grep -c '^#' CONTEXT.md; echo "--- line count"; wc -l CONTEXT.md
Seinn	64	Bash	Map headings in the task list	grep -n '^#' TODO.md; echo "--- line count"; wc -l TODO.md
Seinn	68	Bash	Fetch origin and compare branch sync state	git fetch origin 2>&1 | tail -5; echo "--- ahead/behind (local...origin)"; git rev-list --left-right --count HEAD...origin/fix/resource-loader-registration-race; echo "--- origin/main vs HEAD"; git rev-list --left-right --count HEAD...origin/main; echo "--- b08d391 files"; git show --stat --format='%H%n%an %ad%n%s%n%n%b' b08d391 | head -40
Seinn	72	Bash	Summarize uncommitted changes and work folders	git diff --stat; echo "--- untracked work dirs"; find docs/work/device-access docs/work/performance-pass -type f -exec ls -la {} \; ; echo "--- resource-loader-race"; ls -la docs/work/resource-loader-race; echo "--- .claude"; find .claude -maxdepth 2 -type f; echo "--- kivna"; find kivna -maxdepth 2 | head -30
Seinn	85	Bash	Measure byte size of each record section	for f in CONTEXT.md TODO.md; do echo "=== $f"; awk '/^#/{if(name)printf "%6d bytes  %4d lines  maxline %6d  %s\n",b,l,m,name; name=$0; b=0; l=0; m=0} {b+=length($0)+1; l++; if(length($0)>m)m=length($0)} END{printf "%6d bytes  %4d lines  maxline %6d  %s\n",b,l,m,name}' "$f"; done; echo "=== other files"; wc -c kivna/sessions/2026-09-10.md kivna/sherpa.md docs/playbook.md docs/work/resource-loader-race/work.md
Seinn	89	Bash	Compare local branches against their upstreams	git for-each-ref --format='%(refname:short) %(objectname:short) %(upstream:short) %(upstream:track)' refs/heads; echo "--- main vs origin/main"; git rev-list --left-right --count main...origin/main 2>&1; git log --oneline -5 main; echo "--- keep/session-review"; git log --oneline -6 keep/session-review 2>&1; echo "--- is HEAD's 4 extra commits"; git log --oneline origin/main..HEAD
Seinn	93	Bash	Check for other live Claude sessions and tmux panes	ps -axo pid,etime,command | grep -E '49786282|keep-wt|claude' | grep -v grep | cut -c1-200; echo "--- tmux sessions"; tmux ls 2>&1 | head
Seinn	106	Read	File content read	<user>/development/product/seinn/CONTEXT.md offset=1; limit=40
Seinn	110	Read	File content read	<user>/development/product/seinn/CONTEXT.md offset=642; limit=17
Seinn	114	Read	File content read	<user>/development/product/seinn/CONTEXT.md offset=794; limit=99
Seinn	118	Read	File content read	<user>/development/product/seinn/TODO.md offset=1; limit=72
Seinn	122	Bash	Map session log and sherpa; show branch record diff	echo "=== session log 2026-09-10 headings"; grep -n '^#' kivna/sessions/2026-09-10.md; echo "=== sherpa headings"; grep -n '^#' kivna/sherpa.md; echo "=== resource-loader-race work.md diff"; git diff docs/work/resource-loader-race/work.md
Seinn	135	Read	File content read	<user>/development/product/seinn/kivna/sessions/2026-09-10.md offset=116; limit=33
Seinn	139	Bash	Search records for the performance-pass work	for f in CONTEXT.md TODO.md docs/playbook.md kivna/sessions/2026-09-10.md; do echo "=== $f"; grep -n -i -E 'performance-pass|performance pass|date-filter|date filter|DateFilter' "$f" | cut -c1-260; done
Seinn	143	Bash	Map headings of the three work records	for f in docs/work/performance-pass/work.md docs/work/device-access/work.md docs/work/resource-loader-race/work.md; do echo "=== $f"; grep -n -E '^#|^\*\*(Status|State|Stage|Next|Current)' "$f" | cut -c1-200; done
Seinn	147	Bash	Show hunk locations of uncommitted Swift edits	for f in app/Sources/Agent.swift app/Sources/AppState.swift app/Sources/IOSSettingsScreen.swift; do echo "=== $f"; git diff -U0 "$f" | grep -E '^@@' ; done; echo "=== removed-line sample, Agent.swift"; git diff -U0 app/Sources/Agent.swift | grep -E '^-' | grep -v '^---' | head -12 | cut -c1-160
Seinn	161	Read	File content read	<user>/development/product/seinn/docs/work/performance-pass/work.md offset=1; limit=18
Seinn	165	Read	File content read	<user>/development/product/seinn/docs/work/performance-pass/work.md offset=96; limit=unspecified
Seinn	169	Read	File content read	<user>/development/product/seinn/docs/work/device-access/work.md offset=80; limit=11
Seinn	173	Read	File content read	<user>/development/product/seinn/docs/work/resource-loader-race/work.md offset=110; limit=unspecified
Seinn	186	Bash	Check the summary renderer's expected input	S=<installed-kerd-0.107.0>/skills/switch/scripts/where_we_are.py; python3 "$S" --help 2>&1 | head -40; echo "=== summary parsing"; grep -n -E 'def .*summary|json|\.get\(|restored|--summary' "$S" | head -40
Seinn	190	Bash	Check which commits exist on GitHub	for c in fdf6bae 47733d2 89b248b b08d391 fe02867 8828259 e129053 b2c62cc; do printf '%s  %s\n' "$c" "$(git branch -r --contains $c 2>/dev/null | tr -s ' ' | tr '\n' ' ')"; done; echo "=== keep worktree dir"; test -d /private/tmp/claude-501/-Users-anthonymaley-development-product-seinn/<private-session>/scratchpad/keep-wt && echo present || echo missing; git -C /private/tmp/claude-501/-Users-anthonymaley-development-product-seinn/<private-session>/scratchpad/keep-wt status --short 2>&1 | head -5
